Day	dC	E	E to I	I	I to R	lambda	N	out of dC	par beta	par gamma	par sigma	R	S	S to E	to dC
49	4.13882755744	7.57771812976	3.83050159299	11.3864040941	5.75309246574	0.0113864040941	1000	0	1	0.5	0.5	764.500562307	216.535315469	2.49328796934	3.83050159299
50	3.47579028468	6.35962898632	3.21500412672	9.62158609385	4.86209637858	0.00962158609385	1000	0	1	0.5	0.5	769.741170592	214.277614328	2.0849437187	3.21500412672
51	2.91549296487	5.3315871852	2.69546166138	8.11334805536	4.10043216162	0.00811334805536	1000	0	1	0.5	0.5	774.164901595	212.390163165	1.74267597502	2.69546166138
52	2.44310832289	4.46574722427	2.25783914664	6.8294614169	3.45191797478	0.0068294614169	1000	0	1	0.5	0.5	777.891896556	210.812894803	1.4560458205	2.25783914664
53	2.04559678627	3.73776343022	1.88985742211	5.74017436887	2.90159390293	0.00574017436887	1000	0	1	0.5	0.5	781.026780391	209.49528181	1.21618151975	1.88985742211
54	1.71161135198	3.1265464734	1.58087420811	4.81856527356	2.43590813235	0.00481856527356	1000	0	1	0.5	0.5	783.660000838	208.394887415	1.01557080038	1.58087420811
55	1.43135897907	2.61396034872	1.32173381421	4.04064698943	2.04277558681	0.00404064698943	1000	0	1	0.5	0.5	785.869278101	207.476114561	0.847870766223	1.32173381421
56	1.19644259724	2.18449853267	1.10460545747	3.38530548554	1.71155141754	0.00338530548554	1000	0	1	0.5	0.5	787.721062202	206.70913378	0.707738027401	1.10460545747
57	0.999699291009	1.82496367557	0.922822749678	2.83413533302	1.43295124254	0.00283413533302	1000	0	1	0.5	0.5	789.271931646	206.068969346	0.590679366918	0.922822749678
58	0.835044185769	1.52416520394	0.770731801309	2.37121736921	1.19894127088	0.00237121736921	1000	0	1	0.5	0.5	790.569893795	205.534723632	0.492921994931	0.770731801309
59	0.697325423685	1.27264246752	0.643551932412	1.98287013795	1.0026144926	0.00198287013795	1000	0	1	0.5	0.5	791.65556645	205.088920944	0.411301793833	0.643551932412
60	0.582192863726	1.06241665813	0.537250715319	1.65739627625	0.838063803096	0.00165739627625	1000	0	1	0.5	0.5	792.563233176	204.71695389	0.343167686184	0.537250715319
