Days	Contacts	Infected	Infectious Duration	Infectivity	IR	N	Removed	RR	Susceptible
5.875	10	724.606100153	2	0.2	1306.96799522	10000	256.921691674	362.303050077	9018.47220817
6	10	842.689218296	2	0.2	1492.41966311	10000	302.209572934	421.344609148	8855.10120877
6.125	10	976.573600042	2	0.2	1693.09517216	10000	354.877649077	488.286800021	8668.54875088
6.25	10	1127.17464656	2	0.2	1906.48332608	10000	415.91349908	563.587323279	8456.91185436
6.375	10	1295.03664691	2	0.2	2128.67800987	10000	486.36191449	647.518323455	8218.6014386
6.5	10	1480.18160771	2	0.2	2354.23378713	10000	567.301704922	740.090803855	7952.51668737
6.625	10	1681.94948062	2	0.2	2576.153705	10000	659.813055404	840.97474031	7658.23746398
6.75	10	1898.84685121	2	0.2	2786.07098508	10000	764.934897942	949.423425603	7336.21825085
6.875	10	2128.42779614	2	0.2	2974.67339557	10000	883.612826143	1064.21389807	6987.95937772
7	10	2367.23523333	2	0.2	3132.38493786	10000	1016.6395634	1183.61761666	6616.12520327
7.125	10	2610.83114848	2	0.2	3250.26394847	10000	1164.59176548	1305.41557424	6224.57708604
7.25	10	2853.93719526	2	0.2	3321.00918469	10000	1327.76871226	1426.96859763	5818.29409248
7.375	10	3090.69226864	2	0.2	3339.90587838	10000	1506.13978697	1545.34613432	5403.16794439
7.5	10	3315.01223665	2	0.2	3305.51784906	10000	1699.30805376	1657.50611832	4985.6797096
7.625	10	3521.01370299	2	0.2	3219.95997419	10000	1906.49631855	1760.50685149	4572.48997846
7.75	10	3703.44534333	2	0.2	3088.66969933	10000	2126.55967498	1851.72267166	4169.99498169
7.875	10	3858.06372178	2	0.2	2919.71415889	10000	2358.02500894	1929.03186089	3783.91126927
8	10	3981.89900903	2	0.2	2722.78033378	10000	2599.15399155	1990.94950452	3418.94699941
8.125	10	4073.37786269	2	0.2	2508.05977581	10000	2848.02267962	2036.68893135	3078.59945769
8.25	10	4132.29921825	2	0.2	2285.23749019	10000	3102.60879604	2066.14960912	2765.09198571
8.375	10	4159.68520338	2	0.2	2062.73572944	10000	3360.87749718	2079.84260169	2479.43729944
8.5	10	4157.54684435	2	0.2	1847.27733344	10000	3620.85782239	2078.77342218	2221.59533326
8.625	10	4128.60983326	2	0.2	1643.75288359	10000	3880.70450016	2064.30491663	1990.68566658
8.75	10	4076.04082913	2	0.2	1455.32311433	10000	4138.74261474	2038.02041456	1785.21655613
